LST Per-LCZ-Class Histogram Data
Temperature range: -189 to 211 F
LCZ classes: [1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18]

LCZ_CLASS 1 (Compact high-rise) total_pixels=8639972
Temp(F)	Count	Probability
66	110791	0.0128230740
67	113625	0.0131510843
68	113975	0.0131915937
69	110188	0.0127532821
70	108350	0.0125405499
71	109243	0.0126439067
72	116738	0.0135113864
73	126797	0.0146756263
74	134302	0.0155442633
75	137439	0.0159073432
76	140213	0.0162284091
77	138191	0.0159943805
78	140810	0.0162975065
79	140165	0.0162228535
80	138569	0.0160381307
81	136031	0.0157443797
82	132668	0.0153551424
83	128942	0.0149238910
84	123142	0.0142525925
85	120042	0.0138937950
86	118098	0.0136687943
87	118685	0.0137367343
88	118683	0.0137365028
89	118801	0.0137501603
90	118475	0.0137124287
91	121289	0.0140381242
92	121170	0.0140243510
93	128849	0.0149131270
94	134528	0.0155704208
95	138829	0.0160682234
96	140736	0.0162889417
97	138318	0.0160090797
98	137326	0.0158942645
99	137738	0.0159419498
100	140814	0.0162979695
101	136472	0.0157954216
102	135899	0.0157291019
103	129540	0.0149931041
104	119840	0.0138704153
105	110168	0.0127509672
106	102039	0.0118101077
107	93789	0.0108552435
108	86027	0.0099568610
109	78966	0.0091396130
110	72588	0.0084014161
111	64970	0.0075197003
112	58332	0.0067514108
113	51141	0.0059191164
114	44370	0.0051354333
115	38402	0.0044446903
116	31565	0.0036533683
117	27223	0.0031508204
118	22149	0.0025635500
119	18436	0.0021338032
120	15247	0.0017647048
121	12454	0.0014414399
122	10119	0.0011711844
123	7620	0.0008819473
124	6078	0.0007034745
125	5163	0.0005975714
126	3962	0.0004585663
127	2964	0.0003430567
128	2057	0.0002380795
129	1522	0.0001761580
130	1222	0.0001414356
131	1012	0.0001171300
132	751	0.0000869216
133	573	0.0000663197
134	523	0.0000605326
135	461	0.0000533567
136	372	0.0000430557
137	309	0.0000357640
138	195	0.0000225695
139	229	0.0000265047
140	172	0.0000199075
141	100	0.0000115741
142	62	0.0000071759
143	36	0.0000041667
144	28	0.0000032408
145	35	0.0000040509
146	12	0.0000013889
147	4	0.0000004630
148	3	0.0000003472

LCZ_CLASS 2 (Compact mid-rise) total_pixels=77403212
Temp(F)	Count	Probability
-189	41509	0.0005362697
-188	95	0.0000012273
-187	91	0.0000011757
-186	104	0.0000013436
-185	119	0.0000015374
-184	136	0.0000017570
-183	136	0.0000017570
-182	114	0.0000014728
-181	126	0.0000016278
-180	133	0.0000017183
-179	147	0.0000018991
-178	163	0.0000021059
-177	129	0.0000016666
-176	162	0.0000020929
-175	153	0.0000019767
-174	124	0.0000016020
-173	159	0.0000020542
-172	128	0.0000016537
-171	133	0.0000017183
-170	118	0.0000015245
-169	169	0.0000021834
-168	111	0.0000014340
-167	142	0.0000018345
-166	160	0.0000020671
-165	176	0.0000022738
-164	182	0.0000023513
-163	122	0.0000015762
-162	171	0.0000022092
-161	166	0.0000021446
-160	186	0.0000024030
-159	144	0.0000018604
-158	123	0.0000015891
-157	179	0.0000023126
-156	159	0.0000020542
-155	159	0.0000020542
-154	143	0.0000018475
-153	145	0.0000018733
-152	110	0.0000014211
-151	81	0.0000010465
-150	108	0.0000013953
-149	98	0.0000012661
-148	110	0.0000014211
-147	103	0.0000013307
-146	122	0.0000015762
-145	120	0.0000015503
-144	77	0.0000009948
-143	109	0.0000014082
-142	91	0.0000011757
-141	46	0.0000005943
-140	88	0.0000011369
-139	77	0.0000009948
-138	84	0.0000010852
-137	48	0.0000006201
-136	92	0.0000011886
-135	78	0.0000010077
-134	56	0.0000007235
-133	66	0.0000008527
-132	61	0.0000007881
-131	67	0.0000008656
-130	92	0.0000011886
-129	72	0.0000009302
-128	82	0.0000010594
-127	74	0.0000009560
-126	39	0.0000005039
-125	74	0.0000009560
-124	46	0.0000005943
-123	69	0.0000008914
-122	76	0.0000009819
-121	74	0.0000009560
-120	59	0.0000007622
-119	56	0.0000007235
-118	65	0.0000008398
-117	71	0.0000009173
-116	86	0.0000011111
-115	62	0.0000008010
-114	87	0.0000011240
-113	82	0.0000010594
-112	61	0.0000007881
-111	92	0.0000011886
-110	74	0.0000009560
-109	106	0.0000013695
-108	66	0.0000008527
-107	78	0.0000010077
-106	132	0.0000017054
-105	92	0.0000011886
-104	130	0.0000016795
-103	120	0.0000015503
-102	145	0.0000018733
-101	133	0.0000017183
-100	109	0.0000014082
-99	110	0.0000014211
-98	144	0.0000018604
-97	159	0.0000020542
-96	126	0.0000016278
-95	148	0.0000019121
-94	199	0.0000025710
-93	205	0.0000026485
-92	195	0.0000025193
-91	155	0.0000020025
-90	230	0.0000029715
-89	160	0.0000020671
-88	207	0.0000026743
-87	223	0.0000028810
-86	196	0.0000025322
-85	248	0.0000032040
-84	262	0.0000033849
-83	269	0.0000034753
-82	258	0.0000033332
-81	369	0.0000047672
-80	396	0.0000051161
-79	355	0.0000045864
-78	398	0.0000051419
-77	527	0.0000068085
-76	631	0.0000081521
-75	647	0.0000083588
-74	702	0.0000090694
-73	818	0.0000105680
-72	967	0.0000124930
-71	1041	0.0000134491
-70	910	0.0000117566
-69	807	0.0000104259
-68	970	0.0000125318
-67	721	0.0000093149
-66	598	0.0000077258
-65	629	0.0000081263
-64	1045	0.0000135007
-63	817	0.0000105551
-62	473	0.0000061109
-61	421	0.0000054391
-60	439	0.0000056716
-59	473	0.0000061109
-58	446	0.0000057620
-57	341	0.0000044055
-56	347	0.0000044830
-55	520	0.0000067181
-54	399	0.0000051548
-53	362	0.0000046768
-52	390	0.0000050386
-51	356	0.0000045993
-50	390	0.0000050386
-49	558	0.0000072090
-48	880	0.0000113690
-47	1175	0.0000151802
-46	1275	0.0000164722
-45	1525	0.0000197020
-44	1244	0.0000160717
-43	1165	0.0000150511
-42	973	0.0000125705
-41	889	0.0000114853
-40	869	0.0000112269
-39	606	0.0000078291
-38	620	0.0000080100
-37	539	0.0000069635
-36	435	0.0000056199
-35	539	0.0000069635
-34	738	0.0000095345
-33	1131	0.0000146118
-32	1228	0.0000158650
-31	1400	0.0000180871
-30	1733	0.0000223893
-29	1899	0.0000245339
-28	2246	0.0000290169
-27	2042	0.0000263813
-26	2275	0.0000293915
-25	2400	0.0000310065
-24	2629	0.0000339650
-23	2588	0.0000334353
-22	2775	0.0000358512
-21	3441	0.0000444555
-20	3594	0.0000464322
-19	3419	0.0000441713
-18	3380	0.0000436674
-17	3244	0.0000419104
-16	3290	0.0000425047
-15	3011	0.0000389002
-14	2728	0.0000352440
-13	2982	0.0000385255
-12	3782	0.0000488610
-11	4621	0.0000597004
-10	6497	0.0000839371
-9	7784	0.0001005643
-8	8394	0.0001084451
-7	8672	0.0001120367
-6	9028	0.0001166360
-5	12509	0.0001616083
-4	16971	0.0002192545
-3	17841	0.0002304943
-2	18706	0.0002416696
-1	20716	0.0002676375
1	36015	0.0004652908
2	44306	0.0005724052
3	48149	0.0006220543
4	42147	0.0005445123
5	44097	0.0005697050
6	45571	0.0005887482
7	43042	0.0005560751
8	40727	0.0005261668
9	34866	0.0004504464
10	32331	0.0004176958
11	33571	0.0004337159
12	39016	0.0005040618
13	46539	0.0006012541
14	53238	0.0006878009
15	55983	0.0007232646
16	61593	0.0007957422
17	73575	0.0009505419
18	112675	0.0014556889
19	159396	0.0020592944
20	164009	0.0021188914
21	130240	0.0016826175
22	119189	0.0015398457
23	164328	0.0021230127
24	248393	0.0032090787
25	243408	0.0031446757
26	202513	0.0026163385
27	201393	0.0026018688
28	230044	0.0029720214
29	259163	0.0033482202
30	290049	0.0037472476
31	320282	0.0041378386
32	340971	0.0044051273
33	356666	0.0046078966
34	374395	0.0048369440
35	392430	0.0050699446
36	410125	0.0052985527
37	470792	0.0060823316
38	537890	0.0069491948
39	531520	0.0068668985
40	483432	0.0062456323
41	447298	0.0057788041
42	440217	0.0056873221
43	442071	0.0057112746
44	478571	0.0061828313
45	521297	0.0067348239
46	564895	0.0072980822
47	575986	0.0074413708
48	592116	0.0076497601
49	612378	0.0079115321
50	665687	0.0086002503
51	712605	0.0092064009
52	750921	0.0097014191
53	758041	0.0097934050
54	738645	0.0095428210
55	731694	0.0094530186
56	740922	0.0095722384
57	742467	0.0095921988
58	728624	0.0094133561
59	702008	0.0090694944
60	655222	0.0084650492
61	626475	0.0080936564
62	634547	0.0081979414
63	686680	0.0088714665
64	740086	0.0095614378
65	807563	0.0104331975
66	847830	0.0109534214
67	864370	0.0111671076
68	886364	0.0114512561
69	888334	0.0114767072
70	878915	0.0113550197
71	862926	0.0111484521
72	860570	0.0111180141
73	864997	0.0111752081
74	899397	0.0116196341
75	937474	0.0121115646
76	996707	0.0128768170
77	1040444	0.0134418711
78	1091093	0.0140962238
79	1125641	0.0145425619
80	1164942	0.0150503057
81	1183867	0.0152948046
82	1191262	0.0153903432
83	1200090	0.0155043953
84	1178695	0.0152279856
85	1156285	0.0149384628
86	1092255	0.0141112361
87	1044448	0.0134936002
88	1011038	0.0130619644
89	1014521	0.0131069625
90	1030600	0.0133146929
91	1075247	0.0138915036
92	1104221	0.0142658292
93	1140064	0.0147288978
94	1161948	0.0150116251
95	1158793	0.0149708645
96	1172047	0.0151420977
97	1169564	0.0151100189
98	1187181	0.0153376193
99	1199707	0.0154994472
100	1218763	0.0157456386
101	1207625	0.0156017427
102	1213174	0.0156734323
103	1204559	0.0155621320
104	1196808	0.0154619940
105	1161200	0.0150019614
106	1114505	0.0143986919
107	1036899	0.0133960720
108	949883	0.0122718809
109	875696	0.0113134323
110	802856	0.0103723861
111	749030	0.0096769886
112	689883	0.0089128472
113	639727	0.0082648637
114	578270	0.0074708786
115	520762	0.0067279120
116	453397	0.0058575993
117	395402	0.0051083410
118	335706	0.0043371068
119	288255	0.0037240703
120	238407	0.0030800660
121	196137	0.0025339646
122	159438	0.0020598370
123	124614	0.0016099332
124	101432	0.0013104366
125	81462	0.0010524369
126	64151	0.0008287899
127	49930	0.0006450637
128	40180	0.0005190999
129	31519	0.0004072053
130	25441	0.0003286815
131	19128	0.0002471215
132	15382	0.0001987256
133	12762	0.0001648769
134	9911	0.0001280438
135	7222	0.0000933036
136	5379	0.0000694932
137	4008	0.0000517808
138	2821	0.0000364455
139	1885	0.0000243530
140	1562	0.0000201800
141	1019	0.0000131648
142	798	0.0000103096
143	537	0.0000069377
144	431	0.0000055682
145	317	0.0000040954
146	238	0.0000030748
147	197	0.0000025451
148	143	0.0000018475
149	137	0.0000017700
150	105	0.0000013565
151	138	0.0000017829
152	88	0.0000011369
153	93	0.0000012015
154	84	0.0000010852
155	70	0.0000009044
156	84	0.0000010852
157	48	0.0000006201
158	66	0.0000008527
159	41	0.0000005297
160	35	0.0000004522
161	26	0.0000003359
162	28	0.0000003617
163	21	0.0000002713
164	8	0.0000001034
165	11	0.0000001421
166	10	0.0000001292
167	6	0.0000000775
168	3	0.0000000388
169	3	0.0000000388
170	8	0.0000001034
171	7	0.0000000904
172	2	0.0000000258
173	3	0.0000000388
174	15	0.0000001938
175	2	0.0000000258

LCZ_CLASS 3 (Compact low-rise) total_pixels=47478288
Temp(F)	Count	Probability
-189	69362	0.0014609204
-188	98	0.0000020641
-187	72	0.0000015165
-186	121	0.0000025485
-185	119	0.0000025064
-184	113	0.0000023800
-183	122	0.0000025696
-182	110	0.0000023168
-181	120	0.0000025275
-180	114	0.0000024011
-179	129	0.0000027170
-178	154	0.0000032436
-177	136	0.0000028645
-176	138	0.0000029066
-175	146	0.0000030751
-174	146	0.0000030751
-173	150	0.0000031593
-172	131	0.0000027592
-171	170	0.0000035806
-170	182	0.0000038333
-169	164	0.0000034542
-168	186	0.0000039176
-167	189	0.0000039808
-166	222	0.0000046758
-165	154	0.0000032436
-164	172	0.0000036227
-163	219	0.0000046126
-162	214	0.0000045073
-161	233	0.0000049075
-160	213	0.0000044863
-159	178	0.0000037491
-158	218	0.0000045916
-157	269	0.0000056657
-156	225	0.0000047390
-155	205	0.0000043178
-154	182	0.0000038333
-153	182	0.0000038333
-152	217	0.0000045705
-151	185	0.0000038965
-150	239	0.0000050339
-149	214	0.0000045073
-148	217	0.0000045705
-147	234	0.0000049286
-146	212	0.0000044652
-145	225	0.0000047390
-144	239	0.0000050339
-143	234	0.0000049286
-142	158	0.0000033278
-141	205	0.0000043178
-140	202	0.0000042546
-139	183	0.0000038544
-138	203	0.0000042756
-137	205	0.0000043178
-136	141	0.0000029698
-135	133	0.0000028013
-134	140	0.0000029487
-133	136	0.0000028645
-132	151	0.0000031804
-131	108	0.0000022747
-130	143	0.0000030119
-129	122	0.0000025696
-128	145	0.0000030540
-127	113	0.0000023800
-126	121	0.0000025485
-125	122	0.0000025696
-124	106	0.0000022326
-123	118	0.0000024853
-122	104	0.0000021905
-121	96	0.0000020220
-120	130	0.0000027381
-119	103	0.0000021694
-118	115	0.0000024222
-117	108	0.0000022747
-116	106	0.0000022326
-115	92	0.0000019377
-114	88	0.0000018535
-113	106	0.0000022326
-112	81	0.0000017060
-111	86	0.0000018114
-110	74	0.0000015586
-109	79	0.0000016639
-108	81	0.0000017060
-107	97	0.0000020430
-106	74	0.0000015586
-105	56	0.0000011795
-104	46	0.0000009689
-103	61	0.0000012848
-102	61	0.0000012848
-101	46	0.0000009689
-100	60	0.0000012637
-99	79	0.0000016639
-98	62	0.0000013059
-97	76	0.0000016007
-96	92	0.0000019377
-95	114	0.0000024011
-94	97	0.0000020430
-93	107	0.0000022537
-92	162	0.0000034121
-91	154	0.0000032436
-90	160	0.0000033700
-89	228	0.0000048022
-88	219	0.0000046126
-87	202	0.0000042546
-86	218	0.0000045916
-85	207	0.0000043599
-84	228	0.0000048022
-83	251	0.0000052866
-82	230	0.0000048443
-81	216	0.0000045494
-80	302	0.0000063608
-79	218	0.0000045916
-78	262	0.0000055183
-77	213	0.0000044863
-76	296	0.0000062344
-75	300	0.0000063187
-74	376	0.0000079194
-73	308	0.0000064872
-72	243	0.0000051181
-71	219	0.0000046126
-70	247	0.0000052024
-69	301	0.0000063397
-68	302	0.0000063608
-67	372	0.0000078352
-66	283	0.0000059606
-65	283	0.0000059606
-64	298	0.0000062766
-63	359	0.0000075614
-62	567	0.0000119423
-61	587	0.0000123635
-60	553	0.0000116474
-59	717	0.0000151016
-58	965	0.0000203251
-57	1520	0.0000320146
-56	1631	0.0000343525
-55	1636	0.0000344579
-54	1293	0.0000272335
-53	1076	0.0000226630
-52	1132	0.0000238425
-51	892	0.0000187875
-50	703	0.0000148068
-49	633	0.0000133324
-48	532	0.0000112051
-47	520	0.0000109524
-46	623	0.0000131218
-45	352	0.0000074139
-44	334	0.0000070348
-43	378	0.0000079615
-42	320	0.0000067399
-41	352	0.0000074139
-40	490	0.0000103205
-39	448	0.0000094359
-38	492	0.0000103626
-37	582	0.0000122582
-36	732	0.0000154176
-35	1016	0.0000213993
-34	1178	0.0000248113
-33	1215	0.0000255906
-32	1418	0.0000298663
-31	1692	0.0000356373
-30	2258	0.0000475586
-29	2160	0.0000454945
-28	2050	0.0000431776
-27	1973	0.0000415558
-26	2443	0.0000514551
-25	2653	0.0000558782
-24	3243	0.0000683049
-23	3413	0.0000718855
-22	2615	0.0000550778
-21	2383	0.0000501914
-20	2396	0.0000504652
-19	2149	0.0000452628
-18	2558	0.0000538773
-17	2888	0.0000608278
-16	2783	0.0000586163
-15	2592	0.0000545934
-14	2470	0.0000520238
-13	2497	0.0000525925
-12	2426	0.0000510970
-11	2608	0.0000549304
-10	3385	0.0000712957
-9	3363	0.0000708324
-8	2990	0.0000629762
-7	2722	0.0000573315
-6	5091	0.0001072280
-5	6977	0.0001469514
-4	10332	0.0002176153
-3	10381	0.0002186473
-2	10402	0.0002190896
-1	10653	0.0002243762
1	21692	0.0004568825
2	35981	0.0007578411
3	31998	0.0006739502
4	21608	0.0004551133
5	16771	0.0003532351
6	15784	0.0003324467
7	20459	0.0004309128
8	18733	0.0003945593
9	18506	0.0003897782
10	18171	0.0003827223
11	20635	0.0004346197
12	25090	0.0005284521
13	27823	0.0005860152
14	28039	0.0005905647
15	28736	0.0006052451
16	35514	0.0007480051
17	47060	0.0009911899
18	73950	0.0015575541
19	82626	0.0017402902
20	75146	0.0015827445
21	91767	0.0019328203
22	96076	0.0020235776
23	99685	0.0020995913
24	151765	0.0031965137
25	136222	0.0028691430
26	113842	0.0023977697
27	130041	0.0027389572
28	154825	0.0032609643
29	159926	0.0033684028
30	161104	0.0033932142
31	170947	0.0036005300
32	187793	0.0039553448
33	213981	0.0045069232
34	246972	0.0052017882
35	289864	0.0061051907
36	313874	0.0066108955
37	328543	0.0069198578
38	326559	0.0068780702
39	326952	0.0068863477
40	323882	0.0068216866
41	313645	0.0066060722
42	304963	0.0064232097
43	294331	0.0061992758
44	286242	0.0060289031
45	272965	0.0057492595
46	263492	0.0055497368
47	257729	0.0054283550
48	280467	0.0059072686
49	316655	0.0066694696
50	349707	0.0073656194
51	360437	0.0075916175
52	371554	0.0078257666
53	394140	0.0083014788
54	400334	0.0084319384
55	417223	0.0087876589
56	426925	0.0089920049
57	425162	0.0089548722
58	406141	0.0085542469
59	396507	0.0083513331
60	403758	0.0085040556
61	418572	0.0088160719
62	435803	0.0091789957
63	437742	0.0092198354
64	425618	0.0089644766
65	422362	0.0088958978
66	423812	0.0089264381
67	439115	0.0092487539
68	471780	0.0099367526
69	492764	0.0103787230
70	514123	0.0108285918
71	525040	0.0110585285
72	535520	0.0112792610
73	528369	0.0111286447
74	553061	0.0116487140
75	573336	0.0120757513
76	586521	0.0123534572
77	592358	0.0124763976
78	604802	0.0127384964
79	630311	0.0132757735
80	672802	0.0141707300
81	697565	0.0146922947
82	700204	0.0147478780
83	674908	0.0142150871
84	643105	0.0135452441
85	648857	0.0136663942
86	636623	0.0134087185
87	624048	0.0131438606
88	615958	0.0129734669
89	624304	0.0131492526
90	627550	0.0132176207
91	650845	0.0137082660
92	658253	0.0138642952
93	688795	0.0145075787
94	726351	0.0152985929
95	749512	0.0157864159
96	750987	0.0158174827
97	740725	0.0156013418
98	759979	0.0160068746
99	771343	0.0162462261
100	782426	0.0164796591
101	774660	0.0163160896
102	751162	0.0158211686
103	703833	0.0148243130
104	689868	0.0145301785
105	685453	0.0144371886
106	672738	0.0141693820
107	631838	0.0133079356
108	580803	0.0122330232
109	550501	0.0115947947
110	501103	0.0105543612
111	468810	0.0098741977
112	443659	0.0093444608
113	427047	0.0089945745
114	395603	0.0083322929
115	356480	0.0075082741
116	313330	0.0065994376
117	284480	0.0059917914
118	255171	0.0053744777
119	234721	0.0049437545
120	217520	0.0045814626
121	202916	0.0042738694
122	199671	0.0042055223
123	184977	0.0038960335
124	174389	0.0036730263
125	144848	0.0030508261
126	119087	0.0025082412
127	96902	0.0020409750
128	82416	0.0017358671
129	65352	0.0013764608
130	54608	0.0011501678
131	53443	0.0011256303
132	44561	0.0009385553
133	36916	0.0007775344
134	32015	0.0006743082
135	23648	0.0004980803
136	18815	0.0003962864
137	15568	0.0003278972
138	14743	0.0003105209
139	13216	0.0002783588
140	11183	0.0002355392
141	9343	0.0001967847
142	7616	0.0001604102
143	5366	0.0001130201
144	3537	0.0000744972
145	1693	0.0000356584
146	679	0.0000143013
147	226	0.0000047601
148	111	0.0000023379
149	91	0.0000019167
150	4	0.0000000842
151	4	0.0000000842

LCZ_CLASS 4 (Open high-rise) total_pixels=20344389
Temp(F)	Count	Probability
-189	38877	0.0019109446
-188	24	0.0000011797
-187	14	0.0000006882
-186	20	0.0000009831
-185	22	0.0000010814
-184	27	0.0000013271
-183	47	0.0000023102
-182	55	0.0000027034
-181	60	0.0000029492
-180	31	0.0000015238
-179	31	0.0000015238
-178	19	0.0000009339
-177	26	0.0000012780
-176	36	0.0000017695
-175	12	0.0000005898
-174	34	0.0000016712
-173	44	0.0000021628
-172	29	0.0000014255
-171	34	0.0000016712
-170	37	0.0000018187
-169	21	0.0000010322
-168	32	0.0000015729
-167	31	0.0000015238
-166	35	0.0000017204
-165	37	0.0000018187
-164	46	0.0000022611
-163	48	0.0000023594
-162	52	0.0000025560
-161	93	0.0000045713
-160	213	0.0000104697
-159	175	0.0000086019
-158	218	0.0000107155
-157	283	0.0000139105
-156	194	0.0000095358
-155	247	0.0000121409
-154	184	0.0000090443
-153	210	0.0000103223
-152	199	0.0000097816
-151	140	0.0000068815
-150	116	0.0000057018
-149	113	0.0000055544
-148	140	0.0000068815
-147	160	0.0000078646
-146	123	0.0000060459
-145	137	0.0000067340
-144	47	0.0000023102
-143	66	0.0000032441
-142	70	0.0000034408
-141	48	0.0000023594
-140	29	0.0000014255
-139	22	0.0000010814
-138	24	0.0000011797
-137	43	0.0000021136
-136	30	0.0000014746
-135	56	0.0000027526
-134	57	0.0000028018
-133	80	0.0000039323
-132	136	0.0000066849
-131	103	0.0000050628
-130	80	0.0000039323
-129	69	0.0000033916
-128	64	0.0000031458
-127	83	0.0000040797
-126	80	0.0000039323
-125	70	0.0000034408
-124	67	0.0000032933
-123	57	0.0000028018
-122	57	0.0000028018
-121	43	0.0000021136
-120	53	0.0000026051
-119	57	0.0000028018
-118	55	0.0000027034
-117	44	0.0000021628
-116	47	0.0000023102
-115	51	0.0000025068
-114	44	0.0000021628
-113	65	0.0000031950
-112	105	0.0000051611
-111	94	0.0000046204
-110	120	0.0000058984
-109	118	0.0000058001
-108	157	0.0000077171
-107	208	0.0000102239
-106	222	0.0000109121
-105	328	0.0000161224
-104	391	0.0000192191
